K = 2
0.00995046 0.0008 254
0.0100568 0.00085 184
0.0101449 0.0009 278
0.0102218 0.00095 162
0.010291 0.001 144
0.0103543 0.00105 146
0.0104131 0.0011 198
0.0104674 0.00115 232
0.0105195 0.0012 76
0.0105645 0.00125 75
0.0106048 0.0013 73
0.0106416 0.00135 73
0.0106757 0.0014 74
0.0107075 0.00145 71
0.0107376 0.0015 73
0.0107661 0.00155 74
0.0107933 0.0016 72
0.0108193 0.00165 72
0.0108443 0.0017 73
0.0108684 0.00175 73
0.0108917 0.0018 72
0.0109142 0.00185 73
0.0109361 0.0019 73
0.0109574 0.00195 72
0.0109781 0.002 74
K = 8
0.00492529 0.0002 454545
0.00605393 0.00025 14052
0.00684394 0.0003 12694
0.00746447 0.00035 9620
0.00795013 0.0004 2694
0.00835446 0.00045 784
0.0087075 0.0005 551
0.00901971 0.00055 228
0.00928001 0.0006 250
0.00948822 0.00065 511
0.00966624 0.0007 211
0.00981756 0.00075 221
0.00995046 0.0008 190
0.0100568 0.00085 214
0.0101449 0.0009 192
0.0102218 0.00095 158
0.010291 0.001 144
0.0103543 0.00105 193
0.0104131 0.0011 166
0.0104674 0.00115 208
0.0105195 0.0012 73
0.0105645 0.00125 73
0.0106048 0.0013 73
0.0106416 0.00135 74
0.0106757 0.0014 71
0.0107075 0.00145 71
0.0107376 0.0015 71
0.0107661 0.00155 72
0.0107933 0.0016 71
0.0108193 0.00165 71
0.0108443 0.0017 71
0.0108684 0.00175 72
0.0108917 0.0018 72
0.0109142 0.00185 71
0.0109361 0.0019 72
0.0109574 0.00195 72
0.0109781 0.002 72
K = 9
0.00508156 0.0002 276128
0.00613122 0.00025 15594
0.00689248 0.0003 21269
0.00748281 0.00035 9675
0.00795348 0.0004 2467
0.00835447 0.00045 991
0.00870832 0.0005 700
0.00901971 0.00055 291
0.00928001 0.0006 262
0.00948822 0.00065 354
0.00966624 0.0007 177
0.00981756 0.00075 242
0.00995046 0.0008 265
0.0100568 0.00085 206
0.0101449 0.0009 201
0.0102218 0.00095 250
0.010291 0.001 210
0.0103543 0.00105 168
0.0104131 0.0011 218
0.0104674 0.00115 190
0.0105195 0.0012 73
0.0105645 0.00125 74
0.0106048 0.0013 73
0.0106416 0.00135 73
0.0106757 0.0014 73
0.0107075 0.00145 72
0.0107376 0.0015 75
0.0107661 0.00155 74
0.0107933 0.0016 74
0.0108193 0.00165 74
0.0108443 0.0017 73
0.0108684 0.00175 74
0.0108917 0.0018 74
0.0109142 0.00185 73
0.0109361 0.0019 73
0.0109574 0.00195 73
0.0109781 0.002 74
K = 10
0.0051882 0.0002 187403
0.0061974 0.00025 5510
0.00692323 0.0003 35637
0.00749016 0.00035 12879
0.00795448 0.0004 2786
0.00835538 0.00045 807
0.00870832 0.0005 610
0.00901971 0.00055 246
0.00928001 0.0006 290
0.00948822 0.00065 374
0.00966624 0.0007 203
0.00981756 0.00075 264
0.00995046 0.0008 153
0.0100568 0.00085 196
0.0101449 0.0009 172
0.0102218 0.00095 188
0.010291 0.001 194
0.0103543 0.00105 197
0.0104131 0.0011 191
0.0104674 0.00115 164
0.0105195 0.0012 77
0.0105645 0.00125 74
0.0106048 0.0013 76
0.0106416 0.00135 74
0.0106757 0.0014 73
0.0107075 0.00145 76
0.0107376 0.0015 74
0.0107661 0.00155 73
0.0107933 0.0016 73
0.0108193 0.00165 74
0.0108443 0.0017 73
0.0108684 0.00175 74
0.0108917 0.0018 74
0.0109142 0.00185 75
0.0109361 0.0019 74
0.0109574 0.00195 75
0.0109781 0.002 73
